n_stores,generation,generation_avg_fit,gene_idx,gene_fit,x_store,y_store,store_type
20,0,2387.410889,34,2925.919434,90.000000,490.000000,SMALL
20,0,2387.410889,34,2925.919434,450.000000,150.000000,SMALL
20,0,2387.410889,34,2925.919434,90.000000,320.000000,BIG
20,0,2387.410889,34,2925.919434,90.000000,690.000000,BIG
20,0,2387.410889,34,2925.919434,180.000000,410.000000,SMALL
20,0,2387.410889,34,2925.919434,110.000000,310.000000,SMALL
20,0,2387.410889,34,2925.919434,440.000000,630.000000,BIG
20,0,2387.410889,34,2925.919434,300.000000,30.000000,BIG
20,0,2387.410889,34,2925.919434,320.000000,610.000000,SMALL
20,0,2387.410889,34,2925.919434,330.000000,350.000000,BIG
20,0,2387.410889,34,2925.919434,330.000000,550.000000,BIG
20,0,2387.410889,192,2920.164795,560.000000,660.000000,SMALL
20,0,2387.410889,192,2920.164795,60.000000,460.000000,BIG
20,0,2387.410889,192,2920.164795,110.000000,660.000000,BIG
20,0,2387.410889,192,2920.164795,500.000000,670.000000,SMALL
20,0,2387.410889,192,2920.164795,150.000000,0.000000,BIG
20,0,2387.410889,192,2920.164795,0.000000,40.000000,SMALL
20,0,2387.410889,192,2920.164795,500.000000,160.000000,SMALL
20,0,2387.410889,192,2920.164795,450.000000,540.000000,BIG
20,0,2387.410889,192,2920.164795,490.000000,240.000000,BIG
20,0,2387.410889,192,2920.164795,450.000000,60.000000,SMALL
20,0,2387.410889,192,2920.164795,240.000000,540.000000,BIG
20,0,2387.410889,192,2920.164795,0.000000,340.000000,BIG
20,0,2387.410889,192,2920.164795,590.000000,290.000000,SMALL
20,0,2387.410889,192,2920.164795,130.000000,400.000000,SMALL
20,0,2387.410889,192,2920.164795,260.000000,60.000000,SMALL
20,0,2387.410889,192,2920.164795,360.000000,60.000000,SMALL
20,0,2387.410889,192,2920.164795,300.000000,250.000000,BIG
20,0,2387.410889,192,2920.164795,350.000000,660.000000,BIG
20,0,2387.410889,192,2920.164795,390.000000,740.000000,BIG
20,0,2387.410889,192,2920.164795,500.000000,520.000000,BIG
20,0,2387.410889,122,2918.215820,100.000000,780.000000,BIG
20,0,2387.410889,122,2918.215820,400.000000,320.000000,SMALL
20,0,2387.410889,122,2918.215820,500.000000,310.000000,SMALL
20,0,2387.410889,122,2918.215820,80.000000,660.000000,BIG
20,0,2387.410889,122,2918.215820,270.000000,0.000000,BIG
20,0,2387.410889,122,2918.215820,380.000000,90.000000,SMALL
20,0,2387.410889,122,2918.215820,0.000000,110.000000,BIG
20,0,2387.410889,122,2918.215820,70.000000,90.000000,BIG
20,0,2387.410889,122,2918.215820,60.000000,490.000000,BIG
20,0,2387.410889,122,2918.215820,240.000000,380.000000,SMALL
20,0,2387.410889,122,2918.215820,80.000000,440.000000,SMALL
20,0,2387.410889,122,2918.215820,560.000000,110.000000,BIG
20,0,2387.410889,122,2918.215820,550.000000,690.000000,BIG
20,0,2387.410889,122,2918.215820,330.000000,720.000000,BIG
20,0,2387.410889,122,2918.215820,430.000000,610.000000,SMALL
20,0,2387.410889,122,2918.215820,320.000000,580.000000,BIG
20,0,2387.410889,122,2918.215820,160.000000,210.000000,BIG
20,0,2387.410889,122,2918.215820,210.000000,0.000000,SMALL
20,0,2387.410889,122,2918.215820,440.000000,550.000000,SMALL
20,0,2387.410889,122,2918.215820,150.000000,500.000000,BIG
20,0,2387.410889,5,2900.981445,470.000000,200.000000,BIG
20,0,2387.410889,5,2900.981445,340.000000,550.000000,BIG
20,0,2387.410889,5,2900.981445,530.000000,580.000000,BIG
20,0,2387.410889,5,2900.981445,310.000000,470.000000,BIG
20,0,2387.410889,5,2900.981445,310.000000,340.000000,BIG
20,0,2387.410889,5,2900.981445,220.000000,200.000000,SMALL
20,0,2387.410889,5,2900.981445,350.000000,70.000000,BIG
